c_acc_number,cqr_longitude,cqr_latitude,zone_name_from_coordinates,cqr_acc_id_org,isthecustomeravailable,trw_id
NEWACCOUNT-36.07548762112856,36.07548762,-0.294908585,Central Zone,-1,NO,44415
NEWACCOUNT-36.07550874352455,36.07550874,-0.294174005,Central Zone,-1,NO,44434
NEWACCOUNT-36.07623863965273,36.07623864,-0.292633431,Central Zone,-1,NO,44875
NEWACCOUNT-36.07624836266041,36.07624836,-0.292604598,Central Zone,-1,NO,44880
NEWACCOUNT-36.07988275587559,36.07988276,-0.294819403,Southern Zone,-1,NO,46246
NEWACCOUNT-36.079889461398125,36.07988946,-0.293564816,Southern Zone,-1,NO,46250
NEWACCOUNT-36.07989449054003,36.07989449,-0.287700241,Southern Zone,-1,NO,46251
NEWACCOUNT-36.07990924268961,36.07990924,-0.287521206,Southern Zone,-1,NO,46256
NEWACCOUNT-36.07623092830181,36.07623093,-0.292206295,Central Zone,-1,NO,44871
NEWACCOUNT-36.079934388399124,36.07993439,-0.287516512,Southern Zone,-1,NO,46260
NEWACCOUNT-36.07994746416807,36.07994746,-0.290601013,Southern Zone,-1,NO,46262
NEWACCOUNT-36.07695546001196,36.07695546,-0.291881081,Central Zone,-1,NO,45266
NEWACCOUNT-36.07697490602732,36.07697491,-0.291657455,Central Zone,-1,NO,45276
NEWACCOUNT-36.076250709593296,36.07625071,-0.291650749,Central Zone,-1,NO,44882
NEWACCOUNT-36.07696820050478,36.0769682,-0.2915961,Central Zone,-1,NO,45272
NEWACCOUNT-36.0762195289135,36.07621953,-0.291594424,Central Zone,-1,NO,44864
NEWACCOUNT-36.07997126877308,36.07997127,-0.290588944,Southern Zone,-1,NO,46272
NEWACCOUNT-36.07997428625822,36.07997429,-0.293750221,Southern Zone,-1,NO,46275
NEWACCOUNT-36.08000244945288,36.08000245,-0.300856303,Southern Zone,-1,NO,46285
NEWACCOUNT-36.08000546693802,36.08000547,-0.293387457,Southern Zone,-1,NO,46286
NEWACCOUNT-36.08002256602049,36.08002257,-0.300817076,Southern Zone,-1,NO,46297
NEWACCOUNT-36.0800289362669,36.08002894,-0.294422441,Southern Zone,-1,NO,46299
NEWACCOUNT-36.08004268258809,36.08004268,-0.294975304,Southern Zone,-1,NO,46301
NEWACCOUNT-36.080052740871906,36.08005274,-0.300873402,Southern Zone,-1,NO,46303
NEWACCOUNT-36.08006380498409,36.0800638,-0.288705386,Southern Zone,-1,NO,46305
NEWACCOUNT-36.08006715774536,36.08006716,-0.299941682,Southern Zone,-1,NO,46307
NEWACCOUNT-36.080074869096286,36.08007487,-0.293615442,Southern Zone,-1,NO,46309
NEWACCOUNT-36.080458760261536,36.08045876,-0.302931298,Southern Zone,-1,NO,46400
NEWACCOUNT-36.08045909553766,36.0804591,-0.294453286,Southern Zone,-1,NO,46401
NEWACCOUNT-36.08047652989626,36.08047653,-0.287579208,Southern Zone,-1,NO,46407
NEWACCOUNT-36.080478206276894,36.08047821,-0.302934651,Southern Zone,-1,NO,46409
NEWACCOUNT-36.080479212105274,36.08047921,-0.302830381,Southern Zone,-1,NO,46411
NEWACCOUNT-36.08049530535936,36.08049531,-0.302941356,Southern Zone,-1,NO,46417
NEWACCOUNT-36.08050066977739,36.08050067,-0.293593314,Southern Zone,-1,NO,46418
NEWACCOUNT-36.08050301671028,36.08050302,-0.293823646,Southern Zone,-1,NO,46419
NEWACCOUNT-36.08050402253866,36.08050402,-0.293204399,Southern Zone,-1,NO,46420
NEWACCOUNT-36.08050435781479,36.08050436,-0.293353259,Southern Zone,-1,NO,46421
NEWACCOUNT-36.080508045852184,36.08050805,-0.293435401,Southern Zone,-1,NO,46422
NEWACCOUNT-36.08052246272564,36.08052246,-0.293408244,Southern Zone,-1,NO,46427
NEWACCOUNT-36.080522798001766,36.0805228,-0.295710555,Southern Zone,-1,NO,46428
NEWACCOUNT-36.080531515181065,36.08053152,-0.293723064,Southern Zone,-1,NO,46431
NEWACCOUNT-36.08053218573332,36.08053219,-0.303416436,Southern Zone,-1,NO,46432
NEWACCOUNT-36.0805382207036,36.08053822,-0.295765204,Southern Zone,-1,NO,46434
NEWACCOUNT-36.080548278987415,36.08054828,-0.293795483,Southern Zone,-1,NO,46437
NEWACCOUNT-36.08055364340544,36.08055364,-0.294555879,Southern Zone,-1,NO,46438
NEWACCOUNT-36.080554984509945,36.08055498,-0.29347161,Southern Zone,-1,NO,46439
NEWACCOUNT-36.08055800199509,36.080558,-0.300810371,Southern Zone,-1,NO,46440
NEWACCOUNT-36.08056303113699,36.08056303,-0.302364354,Southern Zone,-1,NO,46442
NEWACCOUNT-36.08057677745819,36.08057678,-0.30092034,Southern Zone,-1,NO,46447
NEWACCOUNT-36.08058415353299,36.08058415,-0.303465385,Southern Zone,-1,NO,46448
NEWACCOUNT-36.08061131089926,36.08061131,-0.297696033,Southern Zone,-1,NO,46455
NEWACCOUNT-36.080623380839825,36.08062338,-0.294666183,Southern Zone,-1,NO,46459
NEWACCOUNT-36.08063980937004,36.08063981,-0.293735804,Southern Zone,-1,NO,46462
NEWACCOUNT-36.08065087348223,36.08065087,-0.303831837,Southern Zone,-1,NO,46464
NEWACCOUNT-36.08067166060209,36.08067166,-0.294468038,Southern Zone,-1,NO,46470
NEWACCOUNT-36.08068238943815,36.08068239,-0.303492207,Southern Zone,-1,NO,46474
NEWACCOUNT-36.08068373054266,36.08068373,-0.29340288,Southern Zone,-1,NO,46475
NEWACCOUNT-36.080703511834145,36.08070351,-0.293394833,Southern Zone,-1,NO,46483
NEWACCOUNT-36.08071055263281,36.08071055,-0.303652802,Southern Zone,-1,NO,46485
NEWACCOUNT-36.08072396367788,36.08072396,-0.294242735,Southern Zone,-1,NO,46489
NEWACCOUNT-36.08072631061077,36.08072631,-0.302954767,Southern Zone,-1,NO,46491
NEWACCOUNT-36.080726981163025,36.08072698,-0.30395857,Southern Zone,-1,NO,46492
NEWACCOUNT-36.08073435723782,36.08073436,-0.290786083,Southern Zone,-1,NO,46495
NEWACCOUNT-36.08073636889458,36.08073637,-0.303818762,Southern Zone,-1,NO,46496
NEWACCOUNT-36.08074475079775,36.08074475,-0.294785205,Southern Zone,-1,NO,46497
NEWACCOUNT-36.08078431338072,36.08078431,-0.290680473,Southern Zone,-1,NO,46505
NEWACCOUNT-36.08078733086586,36.08078733,-0.287453146,Southern Zone,-1,NO,46506
NEWACCOUNT-36.08081381767988,36.08081382,-0.285713085,Southern Zone,-1,NO,46512
NEWACCOUNT-36.08083359897137,36.0808336,-0.294742961,Southern Zone,-1,NO,46516
NEWACCOUNT-36.08083561062813,36.08083561,-0.303822114,Southern Zone,-1,NO,46517
NEWACCOUNT-36.08083661645651,36.08083662,-0.300207888,Southern Zone,-1,NO,46519
NEWACCOUNT-36.080836951732635,36.08083695,-0.303824461,Southern Zone,-1,NO,46520
NEWACCOUNT-36.080848686397076,36.08084869,-0.2946806,Southern Zone,-1,NO,46522
NEWACCOUNT-36.080857403576374,36.0808574,-0.287598654,Southern Zone,-1,NO,46524
NEWACCOUNT-36.08089596033096,36.08089596,-0.293454176,Southern Zone,-1,NO,46538
NEWACCOUNT-36.08089830726385,36.08089831,-0.293363318,Southern Zone,-1,NO,46539
NEWACCOUNT-36.080900989472866,36.08090099,-0.302966837,Southern Zone,-1,NO,46542
NEWACCOUNT-36.080906353890896,36.08090635,-0.288756348,Southern Zone,-1,NO,46545
NEWACCOUNT-36.080914065241814,36.08091407,-0.302778079,Southern Zone,-1,NO,46548
NEWACCOUNT-36.0809338465333,36.08093385,-0.303212926,Southern Zone,-1,NO,46550
NEWACCOUNT-36.0809425637126,36.08094256,-0.303472426,Southern Zone,-1,NO,46554
NEWACCOUNT-36.08096804469824,36.08096804,-0.300696714,Southern Zone,-1,NO,46561
NEWACCOUNT-36.08097441494465,36.08097441,-0.299753595,Southern Zone,-1,NO,46564
NEWACCOUNT-36.08097542077303,36.08097542,-0.300583392,Southern Zone,-1,NO,46565
NEWACCOUNT-36.08097843825817,36.08097844,-0.297713467,Southern Zone,-1,NO,46566
NEWACCOUNT-36.080983467400074,36.08098347,-0.293448141,Southern Zone,-1,NO,46567
NEWACCOUNT-36.080989837646484,36.08098984,-0.300885136,Southern Zone,-1,NO,46569
NEWACCOUNT-36.08100425451994,36.08100425,-0.290610736,Southern Zone,-1,NO,46573
NEWACCOUNT-36.08101733028889,36.08101733,-0.304092008,Southern Zone,-1,NO,46576
NEWACCOUNT-36.08102101832628,36.08102102,-0.293676126,Southern Zone,-1,NO,46577
NEWACCOUNT-36.08104482293129,36.08104482,-0.295650206,Southern Zone,-1,NO,46582
NEWACCOUNT-36.08104482293129,36.08104482,-0.293822305,Southern Zone,-1,NO,46583
NEWACCOUNT-36.08104549348354,36.08104549,-0.297340645,Southern Zone,-1,NO,46584
NEWACCOUNT-36.08105454593897,36.08105455,-0.303783558,Southern Zone,-1,NO,46585
NEWACCOUNT-36.08105555176735,36.08105555,-0.295354161,Southern Zone,-1,NO,46586
NEWACCOUNT-36.081055887043476,36.08105589,-0.278289155,Northern Zone,-1,NO,46587
NEWACCOUNT-36.081078350543976,36.08107835,-0.298130881,Southern Zone,-1,NO,46595
NEWACCOUNT-36.08107902109623,36.08107902,-0.293760615,Southern Zone,-1,NO,46596
NEWACCOUNT-36.081080697476864,36.0810807,-0.29854427,Southern Zone,-1,NO,46597
NEWACCOUNT-36.081085056066506,36.08108506,-0.303296073,Southern Zone,-1,NO,46599
NEWACCOUNT-36.081088073551655,36.08108807,-0.290639234,Southern Zone,-1,NO,46602
NEWACCOUNT-36.081095449626446,36.08109545,-0.290673432,Southern Zone,-1,NO,46606
NEWACCOUNT-36.081096455454826,36.08109646,-0.298846015,Southern Zone,-1,NO,46607
NEWACCOUNT-36.0811098664999,36.08110987,-0.297909601,Southern Zone,-1,NO,46609
NEWACCOUNT-36.08111958950758,36.08111959,-0.303839548,Southern Zone,-1,NO,46610
NEWACCOUNT-36.081121265888214,36.08112127,-0.290595314,Southern Zone,-1,NO,46611
NEWACCOUNT-36.08112562447786,36.08112562,-0.293707977,Southern Zone,-1,NO,46613
NEWACCOUNT-36.081126630306244,36.08112663,-0.29733461,Southern Zone,-1,NO,46614
NEWACCOUNT-36.081136018037796,36.08113602,-0.303574349,Southern Zone,-1,NO,46617
NEWACCOUNT-36.08113702386618,36.08113702,-0.304130564,Southern Zone,-1,NO,46618
NEWACCOUNT-36.08114439994097,36.0811444,-0.303523387,Southern Zone,-1,NO,46620
NEWACCOUNT-36.081144735217094,36.08114474,-0.293601025,Southern Zone,-1,NO,46621
NEWACCOUNT-36.08115177601576,36.08115178,-0.303653137,Southern Zone,-1,NO,46623
NEWACCOUNT-36.081152111291885,36.08115211,-0.302677833,Southern Zone,-1,NO,46624
NEWACCOUNT-36.0811598226428,36.08115982,-0.303536128,Southern Zone,-1,NO,46627
NEWACCOUNT-36.08116518706083,36.08116519,-0.303284004,Southern Zone,-1,NO,46629
NEWACCOUNT-36.08117524534464,36.08117525,-0.299133007,Southern Zone,-1,NO,46630
NEWACCOUNT-36.08117692172527,36.08117692,-0.303482149,Southern Zone,-1,NO,46631
NEWACCOUNT-36.08118396252394,36.08118396,-0.30330982,Southern Zone,-1,NO,46632
NEWACCOUNT-36.08119301497936,36.08119301,-0.303468738,Southern Zone,-1,NO,46633
NEWACCOUNT-36.08119536191225,36.08119536,-0.293424002,Southern Zone,-1,NO,46636
NEWACCOUNT-36.0811997205019,36.08119972,-0.270526261,Northern Zone,-1,NO,46637
NEWACCOUNT-36.081218495965004,36.0812185,-0.287619105,Southern Zone,-1,NO,46639
NEWACCOUNT-36.081219501793385,36.0812195,-0.293245302,Southern Zone,-1,NO,46640
NEWACCOUNT-36.08122821897268,36.08122822,-0.294391596,Southern Zone,-1,NO,46641
NEWACCOUNT-36.08123525977134,36.08123526,-0.303282327,Southern Zone,-1,NO,46642
NEWACCOUNT-36.08124028891325,36.08124029,-0.293369688,Southern Zone,-1,NO,46643
NEWACCOUNT-36.081253699958324,36.0812537,-0.297340981,Southern Zone,-1,NO,46647
NEWACCOUNT-36.08126509934664,36.0812651,-0.294377514,Southern Zone,-1,NO,46650
NEWACCOUNT-36.08127314597368,36.08127315,-0.294694346,Southern Zone,-1,NO,46652
NEWACCOUNT-36.08127649873495,36.0812765,-0.287567809,Southern Zone,-1,NO,46653
NEWACCOUNT-36.081281527876854,36.08128153,-0.302745558,Southern Zone,-1,NO,46654
NEWACCOUNT-36.0812858864665,36.08128589,-0.295432279,Southern Zone,-1,NO,46656
NEWACCOUNT-36.081289909780025,36.08128991,-0.294752348,Southern Zone,-1,NO,46657
NEWACCOUNT-36.08129192143679,36.08129192,-0.294750672,Southern Zone,-1,NO,46658
NEWACCOUNT-36.08132243156433,36.08132243,-0.298277059,Southern Zone,-1,NO,46668
NEWACCOUNT-36.08132410794497,36.08132411,-0.302733823,Southern Zone,-1,NO,46670
NEWACCOUNT-36.081327460706234,36.08132746,-0.297929718,Southern Zone,-1,NO,46672
NEWACCOUNT-36.08133014291524,36.08133014,-0.293564145,Southern Zone,-1,NO,46675
NEWACCOUNT-36.081336848437786,36.08133685,-0.29411265,Southern Zone,-1,NO,46679
NEWACCOUNT-36.0813395306468,36.08133953,-0.297812373,Southern Zone,-1,NO,46680
NEWACCOUNT-36.08133986592293,36.08133987,-0.288132071,Southern Zone,-1,NO,46681
NEWACCOUNT-36.0813408717513,36.08134087,-0.298261636,Southern Zone,-1,NO,46682
NEWACCOUNT-36.08136098831892,36.08136099,-0.294721168,Southern Zone,-1,NO,46686
NEWACCOUNT-36.08137406408787,36.08137406,-0.302721083,Southern Zone,-1,NO,46692
NEWACCOUNT-36.08137506991625,36.08137507,-0.286485886,Southern Zone,-1,NO,46694
NEWACCOUNT-36.08137607574463,36.08137608,-0.29540244,Southern Zone,-1,NO,46695
